image,description,display name,category
8111.jpg,"An all-time favourite accessory, belts form an integral part of dressing - be it to secure a bottom, or act as a styling detail to tops and trousers. This canvas belt from fastrack is set to pump up your style and add zing to your attire. Length : Freesize Made of canvas for durability and style Contrast stitch detailing for added attraction Tang clasp to offer a snug Fit and hold the belt in place Holes to customise fit Broad base to sit snug on the waist Brand name embossed on the loop Brand logo embossed on the tail Care Use a brass polisher to maintain buckle shine Wipe surface with a clean, dry cloth to remove dust",Fastrack Men Canvas Blue Belt,Belts
47596.jpg,"Style Note Love to flaunt your pretty feet in sandals? Then take a look at these stylish sandals from portia and spice up your outfit. Product Details White synthetic leather forefoot strap with a metal link, an ankle strap, a strap adjoining the forefoot to the ankle and a toe separator Smooth footbed with branding Durable rubber outsole with an upraised heel Material and Care Synthetic leather Wipe with clean dry cloth to remove dust Do not store under direct sunlight",Portia Women White Sandals,Heels
30154.jpg,"A wardrobe essential, a belt is a must-have accessory for the well-dressed male. wac by wrangler have perfected this traditional accessory's foray into modern wardrobes using classic techniques and innovative designs. Wear this piece with jeans, casual shoes and a colourful tee or shirt. Length : 85 cm Made of canvas and leather for easy maintenance Tang clasp for a snug Fit Holes to customise fit Fixed loop near the buckle to hold belt in place Care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Wrangler Men Canvas Black & Brown Belt,Belts
53655.jpg,Peach handbag that has panels of faux croc print Flap that has a twist clasp over the mouth Three main zipped compartments with an inner zipped pocket and a mobile pouch One short handle along with one long removable and adjustable strap for carrying ease One zipped pocket at the back,Kiara Women Peach Handbag,Handbags
33388.jpg,"Worry no longer about managing money, cards and coins in your tote bag! Organise your everyday essentials into this stylish wallet from baggit. This timeless piece is on the top of our wishlist this year. A sophisticated addition to your accessory collection, you can carry this piece in your hand or pop it into your bag.   Dimensions: 14 cm x 10 cm  Crafted from corduroy, leatherette and jute One zippered compartment in the centre A buttonable flap on one side with two slip pockets, four card holders and one pocket A buttonable flap on the back with two slip pockets, three card holders and a zippered slit   Care Wipe with clean, damp cloth to remove dirt",Baggit Women Dabang Taj Pink Wallet,Wallets
37187.jpg,"Composition White round neck T-shirt made of 100% cotton, has short sleeves and embroidery with graphic print on the front Fit Regular Wash care Machine wash in cold water with like colours in a delicate cycle using a mild detergent Do not bleach, scrub, tumble dry, wring or dry clean Flat dry in shade Warm iron; do not iron on decorations This T-shirt is designed to make your little bundle of mischief look cute, while he stays comfortable all day in the soft cotton fabric. Pair it with denims and floaters for unbridled comfort.",United Colors of Benetton Boys Printed White T-shirt,Tshirts
45983.jpg,">Blue single jersey knit top, V-neckline with binding, short sleeves with an upturned hem, graphic print on the front with a curved hem, foil print branding on the inside ",Tokyo Talkies Women Blue Printed Top,Tops
31885.jpg,"White saree, has a printed border Without blouse piece The model is wearing a blouse from our stylist's collection, this saree does'nt come with a blouse piece",Fabindia Women White Cotton Silk Saree,Sarees
9009.jpg,"The look of this murcia bag is contemporary and the feel is of pure luxury. Created using exotic material, intricate embroideries and international silhouettes, it's vibrant hues and rich textures are just some of the unique features of this murcia bag. This bag is a must have for every woman with style and panache for fashion. Made of high quality synthetic leather with snake prints Durable nylon lining One main magnetic buttoned chamber with a sub-chamber inside Mobile case on the inside Comfortable handles in same material as the body Bag care Rub surface with dry clean cloth to remove dust and dirt Use a mild leather cleaner",Murcia Women Snake Print Bag Brown Handbags,Handbags
2224.jpg,"Get ready to explore your surroundings in comfort and style in these Trek floaters from puma. Team them with cargo shorts and tees for a cool casual look. Upper   Synthetic straps over forefoot, front and back of the ankles  Adjustable velcro straps for snug Fit  Fabric lining for extra comfort  Stitch detailing for eye appeal  Brand logo on the forefoot, ankle and back straps   Midsole   Soft footbed with in ergonomic design, non-slip grooves and heel counter for all-day comfort   Outsole   TPR outsole with multi-directioanl lugs for superior grip and durability   Wash care Rub surface with clean, damp cloth to remove dirt Do not machine wash",Puma Men's Trek Olive Green Sandal,Sandals
1895.jpg,"This is a fifa branded full sleeves Hoody for winter wear. Model's Statistics: 1. The model wears size M in t-shirts 2. Height-5.11"", Shoulders-17.5 """,FIFA Men Full Sleeves Hoody Sweatshirt,Sweatshirts
39624.jpg,"Style Note This vintage style nike Sweet Classic shoe is a perfect fusion of street fashion and tennis glam. Designed for the tennis lover, these shoes blend function and fashion effortlessly, to make you look fabulous on and off the court. Product Details Synthetic leather upper with nike swoosh overlays on the midfoot Mildly padded collar with an embroidered logo on the back Lacing system for a snug, cutomised Fit Padded tongue for comfort Synthetic leather and mesh fabric lining for comfort and breathability EVA midsole for advanced cushioning Herringbone grooves on the durable outsole for enhanced grip and traction Leaf patterened herringbone grooves on the forefoot for better grip during toe off Material and Care Synthetic Wipe surface with damp, clean cloth to remove dust Do not machine wash or store in direct sunlight",Nike Men Sweet Classic Blue Casual Shoes,Casual Shoes
35043.jpg,"Style Note fabindia specialises in natural, craft-based contemporary pieces, while also providing rural craftsmen and women a platform to use traditional dyeing and fabric printing techniques. Capturing the essence of Indian roots, crafted with a focus on the traditional, this kurta sets the tone for a contemporary trend with an ethnic aesthetic. The embroidery has been stitched by hand using a kantha style. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Product Details Cream silk kurta with a round split neckline, pink kantha embroidery detail at slit and cuffs, bracelet length sleeves and a vented hem Material and Care 100% silk in a lightweight crisp fabric with a sheen Dry clean only Size and Fit Regular fit The model (height 5'8"" and chest 33?????????) is wearing a size S",Fabindia Women Silk Cream Kurta,Kurtas
49063.jpg,Brown bag with branding printed on one side Has striped canvas shoulder straps and a tough removable base One zipped compartment A small pouch hanging through a lobster clasp with a zip closure,Lino Perros Women Brown Handbag,Handbags
17709.jpg,"Want to channel the spirit of the 1960s? The decade that birthed skateboard culture was also the decade that brought us the first vans shoe &ndash  and you can proudly step out in the very same Authentic unisex shoe which first hit the shelves in 1966. This shoe is supremely classic, looks great on guys and girls, comfortable and practical. And the highlight is the funky yellow and brown laces. (Normal white laces are also included).  Uppers Canvas uppers for durability and comfort Lace-ups for a snug Fit Brand tab on the forefoot seam and brand name on the back, on the lasting Cushioned footbed for all day comfort  Midsole EVA midsole for better shock absorption  Outsole Rubber outsole for durability Reverse waffle pattern for better grip Lasting with toe counter for extra protection to the toes  Shoe care Wipe surface with soft, clean cloth or use a brush to remove dust Do not use a drier or store in direct sunlight",Vans unisex Authentic Olive Casual Shoes,Casual Shoes
